1987	1	30	1
1987	2	27	1
1987	3	31	1
1987	4	30	1
1987	5	29	1
1987	6	30	1
1987	7	31	1
1987	8	31	1
1987	9	30	1
1987	10	30	0
1987	11	30	0
1987	12	31	0
1988	1	29	0
1988	2	29	0
1988	3	31	0
1988	4	29	0
1988	5	31	0
1988	6	30	1
1988	7	29	1
1988	8	31	1
1988	9	30	1
1988	10	31	1
1988	11	30	1
1988	12	30	1
1989	1	31	1
1989	2	28	1
1989	3	31	1
1989	4	28	1
1989	5	31	1
1989	6	30	1
1989	7	31	1
1989	8	31	1
1989	9	29	1
1989	10	31	1
1989	11	30	1
1989	12	29	1
1990	1	31	0
1990	2	28	0
1990	3	30	1
1990	4	30	0
1990	5	31	1
1990	6	29	1
1990	7	31	1
1990	8	31	0
1990	9	28	0
1990	10	31	0
1990	11	30	0
1990	12	31	0
1991	1	31	1
1991	2	28	1
1991	3	28	1
1991	4	30	1
1991	5	31	1
1991	6	28	1
1991	7	31	1
1991	8	30	1
1991	9	30	1
1991	10	31	1
1991	11	29	1
1991	12	31	1
1992	1	31	1
1992	2	28	1
1992	3	31	1
1992	4	30	1
1992	5	29	1
1992	6	30	1
1992	7	31	1
1992	8	31	1
1992	9	30	1
1992	10	30	1
1992	11	30	1
1992	12	31	1
1993	1	29	1
1993	2	26	1
1993	3	31	1
1993	4	30	1
1993	5	28	1
1993	6	30	1
1993	7	30	1
1993	8	31	1
1993	9	30	1
1993	10	29	1
1993	11	30	1
1993	12	31	1
1994	1	31	1
1994	2	28	1
1994	3	31	0
1994	4	29	0
1994	5	31	0
1994	6	30	0
1994	7	29	0
1994	8	31	1
1994	9	30	1
1994	10	31	1
1994	11	30	0
1994	12	30	1
1995	1	31	1
1995	2	28	1
1995	3	31	1
1995	4	28	1
1995	5	31	1
1995	6	30	1
1995	7	31	1
1995	8	31	1
1995	9	29	1
1995	10	31	1
1995	11	30	1
1995	12	29	1
1996	1	31	1
1996	2	29	1
1996	3	29	1
1996	4	30	1
1996	5	31	1
1996	6	28	1
1996	7	31	1
1996	8	30	1
1996	9	30	1
1996	10	31	1
1996	11	29	1
1996	12	31	1
1997	1	31	1
1997	2	28	1
1997	3	31	1
1997	4	30	1
1997	5	30	1
1997	6	30	1
1997	7	31	1
1997	8	29	1
1997	9	30	1
1997	10	31	1
1997	11	28	1
1997	12	31	1
1998	1	30	1
1998	2	27	1
1998	3	31	1
1998	4	30	1
1998	5	29	1
1998	6	30	1
1998	7	31	1
1998	8	31	0
1998	9	30	0
1998	10	30	1
1998	11	30	1
1998	12	31	1
1999	1	29	1
1999	2	26	1
1999	3	31	1
1999	4	30	1
1999	5	28	1
1999	6	30	1
1999	7	30	1
1999	8	31	1
1999	9	30	0
1999	10	29	1
1999	11	30	1
1999	12	31	1
2000	1	31	1
2000	2	29	1
2000	3	31	1
2000	4	28	1
2000	5	31	1
2000	6	30	1
2000	7	31	1
2000	8	31	1
2000	9	29	1
2000	10	31	0
2000	11	30	0
2000	12	29	0
2001	1	31	0
2001	2	28	0
2001	3	30	0
2001	4	30	0
2001	5	31	0
2001	6	29	0
2001	7	31	0
2001	8	31	0
2001	9	28	0
2001	10	31	0
2001	11	30	0
2001	12	31	1
2002	1	31	0
2002	2	28	0
2002	3	28	1
2002	4	30	0
2002	5	31	0
2002	6	28	0
2002	7	31	0
2002	8	30	0
2002	9	30	0
2002	10	31	0
2002	11	29	0
2002	12	31	0
2003	1	31	0
2003	2	28	0
2003	3	31	0
2003	4	30	1
2003	5	30	1
2003	6	30	1
2003	7	31	1
2003	8	29	1
2003	9	30	1
2003	10	31	1
2003	11	28	1
2003	12	31	1
2004	1	30	1
2004	2	27	1
2004	3	31	1
2004	4	30	1
2004	5	28	1
2004	6	30	1
2004	7	30	0
2004	8	31	0
2004	9	30	1
2004	10	29	1
2004	11	30	1
2004	12	31	1
2005	1	31	1
2005	2	28	1
2005	3	31	1
2005	4	29	1
2005	5	31	1
2005	6	30	1
2005	7	29	1
2005	8	31	1
2005	9	30	1
2005	10	31	1
2005	11	30	1
2005	12	30	1
2006	1	31	1
2006	2	28	1
2006	3	31	1
2006	4	28	1
2006	5	31	1
2006	6	30	1
2006	7	31	1
2006	8	31	1
2006	9	29	1
2006	10	31	1
2006	11	30	1
2006	12	29	1
2007	1	31	1
2007	2	28	1
2007	3	30	1
2007	4	30	1
2007	5	31	1
2007	6	29	1
2007	7	31	1
2007	8	31	1
2007	9	28	1
2007	10	31	1
2007	11	30	1
2007	12	31	0
2008	1	31	0
2008	2	29	0
2008	3	31	0
2008	4	30	0
2008	5	30	0
2008	6	30	0
2008	7	31	0
2008	8	29	0
2008	9	30	0
2008	10	31	0
2008	11	28	0
2008	12	31	0
2009	1	30	0
2009	2	27	0
2009	3	31	0
2009	4	30	0
2009	5	29	1
2009	6	30	1
2009	7	31	1
2009	8	31	1
2009	9	30	1
2009	10	30	1
2009	11	30	1
2009	12	31	1
