0.022285,0.10005,0.080799,0.026683,0.25055,0.099189,0.10788,0.049522,0.039866,0.061823,0.090271,0.04921,0.021885,0.023736,0.0054887
0.019433,0.091955,0.080621,0.026002,0.24057,0.098619,0.11427,0.051614,0.04246,0.065056,0.093395,0.051712,0.024292,0.024716,0.0055455
0.016794,0.084317,0.080003,0.025321,0.23066,0.097355,0.12071,0.053697,0.045131,0.06856,0.096574,0.054207,0.026673,0.025728,0.0056034
0.014219,0.076918,0.077947,0.02464,0.22145,0.09586,0.12697,0.055731,0.047912,0.07217,0.099854,0.056698,0.029625,0.026792,0.0056652
0.011904,0.070249,0.074835,0.024319,0.21342,0.092365,0.13341,0.057815,0.050718,0.07574,0.10307,0.059417,0.032744,0.027901,0.0057312
0.010037,0.064348,0.071336,0.024081,0.20566,0.087233,0.1402,0.059905,0.053518,0.079389,0.10618,0.062242,0.035873,0.029039,0.0057986
0.0084874,0.058777,0.06808,0.023379,0.19806,0.081507,0.14662,0.062022,0.056315,0.083244,0.10933,0.065006,0.039166,0.030194,0.0058667
0.0069378,0.053656,0.065041,0.02142,0.19059,0.075706,0.153,0.064128,0.059077,0.087608,0.11263,0.067588,0.042616,0.03138,0.0059385
0.0053881,0.048957,0.061857,0.019623,0.18292,0.069707,0.15939,0.066411,0.06182,0.092026,0.11593,0.069914,0.046056,0.03257,0.006009
0.0040418,0.044394,0.058473,0.018048,0.17549,0.064406,0.16485,0.070499,0.064618,0.096418,0.12049,0.068773,0.049498,0.033732,0.0060738
0.0027235,0.040422,0.055419,0.016359,0.16548,0.060169,0.16829,0.075424,0.067385,0.10135,0.12573,0.067392,0.053859,0.034966,0.006133
0.0016151,0.036669,0.052389,0.014617,0.15429,0.05673,0.16966,0.082143,0.070011,0.10665,0.13111,0.065799,0.058317,0.036254,0.0061871
0.0007337,0.03353,0.047112,0.012875,0.14333,0.053714,0.17445,0.088866,0.072565,0.11049,0.13755,0.061371,0.063405,0.037504,0.0062432
0.00029185,0.031254,0.038053,0.011325,0.13444,0.05017,0.1843,0.09689,0.069907,0.11615,0.14736,0.047553,0.07231,0.03874,0.0063094
-2.1739e-018,0.03,0.03,0.01,0.13,0.04,0.21,0.12,0.05,0.11,0.16,0.04,0.07,0.039643,0.0063871
